Search term	Impressions	Clicks	CTR	CPC	Spend	Seven_Day_Total_Sales	ACoS	RoAS	Seven_Day_Total_Orders	Seven_Day_Total_Units	Seven_Day_Total_Rate	Seven_Day_Advertised_SKU_Units	Seven_Day_Other_SKU_Units	Seven_Day_Advertised_SKU_Sales	Seven_Day_Other_SKU_Sales = 22	
gift for the boss	     9.000	     1.000	     0.111	     0.700	     0.700	    12.530	     0.056	    17.900	     1.000	     1.000	   100.000	     1.000	     0.000	    12.530	     0.000
gifts for men boss	     2.000	     1.000	     0.500	     0.340	     0.340	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
great boss mug	    34.000	     4.000	     0.118	     2.730	     2.730	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mug boss	    25.000	     3.000	     0.120	     2.010	     2.010	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
happy birthday gift boss	     2.000	     1.000	     0.500	     0.610	     0.610	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
retiring boss gifts	     1.000	     1.000	     1.000	     0.700	     0.700	    12.530	     0.056	    17.900	     1.000	     1.000	   100.000	     1.000	     0.000	    12.530	     0.000
worlds beat boss mug	   109.000	     2.000	     0.018	     1.440	     1.440	    12.530	     0.115	    18.160	     1.000	     1.000	   100.000	     1.000	     0.000	    12.530	     0.000
worlds best boss travel mug	     6.000	     2.000	     0.333	     0.610	     1.220	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
funny mugs for boss	   131.000	     5.000	     0.038	     4.110	     4.110	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gift for boss leaving	    12.000	     2.000	     0.167	     1.140	     1.140	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
men boss mug	     1.000	     1.000	     1.000	     0.530	     0.530	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
greatest boss mug	   232.000	    11.000	     0.047	     4.700	     7.030	    25.180	     0.279	    19.950	     2.000	     2.000	   120.000	     2.000	     0.000	    25.180	     0.000
coffee mugs for boss leaving	     3.000	     1.000	     0.333	     0.620	     0.620	    12.530	     0.049	    20.210	     1.000	     1.000	   100.000	     1.000	     0.000	    12.530	     0.000
mug worlds best boss	   280.000	     5.000	     0.018	     2.810	     3.640	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
pastor boss gifts	     3.000	     1.000	     0.333	     0.600	     0.600	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
yeti boss gift	     2.000	     1.000	     0.500	     0.720	     0.720	    25.060	     0.029	    34.810	     1.000	     2.000	   100.000	     2.000	     0.000	    25.060	     0.000
coffee mugs for best boss	     1.000	     1.000	     1.000	     0.580	     0.580	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
funny mug for boss	   142.000	     2.000	     0.014	     1.460	     1.460	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
birthday gift for boss	     9.000	     2.000	     0.222	     1.390	     1.390	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss man coffee mug	     6.000	     3.000	     0.500	     2.220	     2.220	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
farewell gift for boss	     7.000	     3.000	     0.429	     0.630	     1.890	    12.530	     0.151	     6.630	     1.000	     1.000	    33.333	     1.000	     0.000	    12.530	     0.000
gifts for boss	   650.000	    14.000	     0.022	     5.070	     9.210	    82.000	     0.112	    39.050	     7.000	     7.000	   325.000	     7.000	     0.000	    82.000	     0.000
boss coffee mugs	  2386.000	    27.000	     0.011	    15.710	    20.720	    50.960	     0.407	    84.490	     4.000	     4.000	   350.000	     3.000	     1.000	    37.970	     0.000
boss mugs for women	    63.000	     8.000	     0.127	     3.820	     5.080	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
cake boss mug	     5.000	     1.000	     0.200	     0.550	     0.550	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
ceramic mug boss	     1.000	     1.000	     1.000	     0.670	     0.670	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gift for m boss	     1.000	     1.000	     1.000	     0.520	     0.520	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss mug middle finger	    23.000	     3.000	     0.130	     2.040	     2.040	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss bitch coffee mug	     5.000	     1.000	     0.200	     0.570	     0.570	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mug best boss	   925.000	    13.000	     0.014	    11.350	    11.350	    63.660	     0.178	    92.430	     5.000	     5.000	   500.000	     2.000	     3.000	    25.890	     0.000
dental gift for boss	     2.000	     1.000	     0.500	     0.500	     0.500	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
giant boss mug	     3.000	     2.000	     0.667	     0.850	     0.850	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss gifts for women	   367.000	    14.000	     0.038	    10.450	    11.230	    47.150	     0.238	    59.800	     4.000	     4.000	   350.000	     4.000	     0.000	    47.150	     0.000
best boss in the world mug	    11.000	     6.000	     0.545	     3.640	     3.640	    34.840	     0.104	    78.930	     3.000	     3.000	   300.000	     3.000	     0.000	    34.840	     0.000
boss christmas gifts	   157.000	     2.000	     0.013	     1.020	     1.020	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
for boss gifts	     2.000	     1.000	     0.500	     0.680	     0.680	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
good boss mug	     4.000	     2.000	     0.500	     1.250	     1.250	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gift worlds best boss	     1.000	     1.000	     1.000	     0.490	     0.490	    11.940	     0.041	    24.370	     1.000	     1.000	   100.000	     1.000	     0.000	    11.940	     0.000
awesome boss mug	     1.000	     1.000	     1.000	     0.600	     0.600	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss coffee travel mug	     4.000	     1.000	     0.250	     0.690	     0.690	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
